,,,,,,,,,,,Last Updated >,11/16/2022,,[1kW = 1.34 HP],EVR = Electric Range,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1 Mile = 1.61Km,MCR = Max Charge Rate,,,,,,,,,,,,,,,,,,,,,
,Planned Fleet Targets:,371,,,Median,Average,,,,,<Filtered to 1/1/21 and later,,,,YoM = Years on Market,,,,,USD/EUR,EUR/USD,,GBP/USD,USD/GBP,CNY/USD,USD/AUD,,km/Mi,Mi/km,,,,,,,
,Count of Planned Models:,79,,,270.00,271.88,,,,,Overall Range (mi),,,,,,,,,€0.94,$1.06,,$1.22,£0.82,$0.14,$1.56,,0.62,1.61,,,,,,,
,Global EVs currently available:,337,,,80.00,78.22,,,,,Battery (kWh),,,,,,,,,,,,,,,,,,,,,,,,,
,Count of involved Manufacturers:,83,,,"$58,175.00","$119,648.57",,,,,MSRP (USD),See data that you'd like added or changed? ,,,,,,,,,,,,,,,,,,,,,,,,
,Average planned/mfr:,0.95,,,248,328.86,,,,,Max Power output (kW),"You can help keep this document maintained by commenting on a cell. Right-click the cell and click ""Comment"" to suggest a change.",,,,,,,,,,,,,,,,,,,,,,,,
,Average released/mfr:,4.06,,$/mi Range,$224.21,317.45,,,,,wh/mi,Total Count of Missing Data Cells,,,,,,,"2,828",,,,,,,,,,,,,,,,,
,Total Invested:,"$124,900,000,000",,,,,,,,,,363,416,19,19,19,24,150,150,159,204,95,95,96,89,27,46,66,103,368,320,,,,,
Date Unveiled,Expected Release,Release Date,Discontinued,YoM,Planned,Released,Model Year,Brand,Model Name,Trim,Vehicle Name,Powertrain,Motors,Class,Style,EV Type,Seating,US MSRP,Global MSRP,$/mi EVR,$/kwh,wh/mi,mi/kWh,kWh/100mi,Batt kWh,EVR (mi),Comb. Range,ICER (mi),EVR (km),L2 MCR,Max DCFC,Motor (kW),Mfr Country,Market Availability,Source,Comments
-,2022-07-30,2022-07-30,,1.26,N/A,TRUE,2023,Hyundai,Ioniq 6,,2023 Hyundai Ioniq 6 ,,,Compact Sedan,Sedan,BEV,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,South Korea,,,
-,2022-08-30,2022-08-30,,1.18,N/A,TRUE,2023,Genesis,Electrified G80,,2023 Genesis Electrified G80 ,,,Full-Size Luxury Sedan,Sedan,BEV,5,"$134,999","€127,069.83",$509.43,"$1,548.15",329,3.04,32.9,87.2,265,265,0,-,-,-,,South Korea,,https://www.carexpert.com.au/car-news/2023-genesis-electrified-gv70-and-g80-expected-price-and-specs,
2021-11-01,2022-09-01,2022-09-01,,1.17,N/A,TRUE,2023,Xpeng,G9,,2023 Xpeng G9 ,AWD,,Mid-Size Luxury Crossover,Crossover,BEV,7,"$34,999","€32,943.33",$116.66,-,-,-,-,-,300,300,0,480,-,480,230,China,China and Europe,,
,2022-09-01,2022-09-01,,1.17,N/A,TRUE,2023,Audi,Q4 e-tron,40 Premium,2023 Audi Q4 e-tron 40 Premium,RWD,1,Compact Luxury Crossover,Crossover,BEV,5,"$48,800","€45,933.73",$184.15,$595.12,309,3.23,30.9,82.0,265,265,-,-,-,-,,,,,
,2022-09-01,2022-09-01,,1.17,N/A,TRUE,2023,Audi,Q4 e-tron,40 Premium Plus,2023 Audi Q4 e-tron 40 Premium Plus,RWD,1,Compact Luxury Crossover,Crossover,BEV,5,"$55,400","€52,146.08",$209.06,$675.61,309,3.23,30.9,82.0,265,265,-,-,-,-,,,,,
2017-01-13,2020-06-01,2022-09-30,,1.09,N/A,TRUE,2023,Faraday Future,FF91,,2023 Faraday Future FF91 ,,,Compact Luxury Crossover,Crossover,BEV,5,"$180,000","€169,427.70",$600.00,"$1,384.62",433,2.31,43.3,130.0,300,300,0,480,-,-,783,United States,,Embattled EV start-up Faraday Future gets second act with Nasdaq debut (cnbc.com),
2020-08-06,2022-09-30,2022-09-30,,1.09,N/A,TRUE,2023,Cadillac,Lyriq,,2023 Cadillac Lyriq ,,,Mid-Size Crossover,Crossover,BEV,5,"$62,990","€59,290.28",$201.89,$629.90,321,3.12,32.1,100.0,312,312,0,-,-,190,,United States,,https://brochures.cadillac.com/2023/lyriq/specs-trims/info/,
,2022-10-01,2022-10-01,,1.09,N/A,TRUE,2023,Volkswagen,ID.4,(62kwh),2023 Volkswagen ID.4 (62kwh),,,Crossover,Crossover,BEV,5,"$34,999","€32,943.33",$175.00,$564.50,310,3.23,31.0,62.0,200,200,0,-,7.0,125,,Germany,North America,https://www.autoblog.com/2022/07/18/vw-id4-us-production-small-battery-version/,"Chattanooga, TN Produced model"
,2022-10-01,2022-10-01,,1.09,N/A,TRUE,2023,Kia,Niro EV,Wind,2023 Kia Niro EV Wind,FWD,1,Compact Crossover,Crossover,BEV,5,"$39,450","€37,132.90",$155.93,$608.80,256,3.90,25.6,64.8,253,253,0,405,11.0,85,,,,,
,2022-10-01,2022-10-01,,1.09,N/A,TRUE,2023,Kia,Niro EV,Wave,2023 Kia Niro EV Wave,FWD,1,Compact Crossover,Crossover,BEV,5,"$44,450","€41,839.23",$175.69,$685.96,256,3.90,25.6,64.8,253,253,0,405,11.0,85,,,,,
,2022-10-01,2022-10-01,2023-04-30,0.58,N/A,TRUE,2023,Audi,e-tron,S Prestige,2023 Audi e-tron S Prestige,AWD,3,Mid-size Luzury SUV,SUV,BEV,5,"$95,300","€89,702.55",$458.17,"$1,003.16",457,2.19,45.7,95.0,208,208,0,333,-,150,,Germany,,,
,2022-10-01,2022-10-01,2023-04-30,0.58,N/A,TRUE,2023,Audi,e-tron,S Premium Plus,2023 Audi e-tron S Premium Plus,AWD,3,Mid-size Luzury SUV,SUV,BEV,5,"$88,200","€83,019.57",$424.04,$928.42,457,2.19,45.7,95.0,208,208,0,333,-,150,,Germany,,,
,2022-10-02,2022-10-02,,1.08,N/A,TRUE,2023,Audi,Q4 e-tron Sportback,Premium,2023 Audi Q4 e-tron Sportback Premium,,,Sportback Crossover,Crossover,BEV,,"$56,800","€53,463.85",$234.71,$692.68,339,2.95,33.9,82.0,242,-,-,-,-,150,,Germany,,,
,2022-10-03,2022-10-03,2023-04-30,0.57,N/A,TRUE,2023,Audi,e-tron Sportback,Premium,2023 Audi e-tron Sportback Premium,,,Sportback Crossover,Crossover,BEV,5,"$74,000","€69,653.61",$328.89,$778.95,422,2.37,42.2,95.0,225,225,0,360,-,-,,,,,
,2022-10-03,2022-10-03,2023-04-30,0.57,N/A,TRUE,2023,Audi,e-tron Sportback,Premium Plus,2023 Audi e-tron Sportback Premium Plus,,,Sportback Crossover,Crossover,BEV,5,"$81,000","€76,242.47",$360.00,$852.63,422,2.37,42.2,95.0,225,225,0,360,-,-,,,,,
,2022-10-03,2022-10-03,2023-04-30,0.57,N/A,TRUE,2023,Audi,e-tron Sportback,Prestige,2023 Audi e-tron Sportback Prestige,,,Sportback Crossover,Crossover,BEV,5,"$89,300","€84,054.96",$396.89,$940.00,422,2.37,42.2,95.0,225,225,0,360,-,-,,,,,
,2022-10-04,2022-10-04,,1.08,N/A,TRUE,2023,Audi,Q4 e-tron Sportback,Premium Plus,2023 Audi Q4 e-tron Sportback Premium Plus,,,Sportback Crossover,Crossover,BEV,,"$63,400","€59,676.20",$261.98,$773.17,339,2.95,33.9,82.0,242,-,-,-,-,150,,Germany,,,
,2022-10-05,2022-10-05,,1.08,N/A,TRUE,2023,Audi,Q4 e-tron Sportback,Prestige,2023 Audi Q4 e-tron Sportback Prestige,,,Sportback Crossover,Crossover,BEV,,"$64,900","€61,088.10",$268.18,$791.46,339,2.95,33.9,82.0,242,-,-,-,-,150,,Germany,,,
2019-07-10,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Rivian,R1S,Adventure Dual-Motor Standard Pack,2023 Rivian R1S Adventure Dual-Motor Standard Pack,AWD,2,Full-Size SUV,SUV,BEV,7,"$78,000","€73,418.67",$300.00,$742.86,404,2.48,40.4,105.0,260,260,0,416,11.0,160,300,United States,United States,https://rivian.com/r1s,
2019-07-10,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Rivian,R1S,Adventure Dual-Motor Large Pack,2023 Rivian R1S Adventure Dual-Motor Large Pack,AWD,2,Full-Size SUV,SUV,BEV,7,"$84,000","€79,066.26",$262.50,$622.22,422,2.37,42.2,135.0,320,320,0,512,11.0,160,522,United States,United States,https://rivian.com/r1s,
2019-07-10,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Rivian,R1S,Adventure Quad-Motor Large Pack,2023 Rivian R1S Adventure Quad-Motor Large Pack,AWD,4,Full-Size SUV,SUV,BEV,7,"$92,000","€86,596.38",$291.14,$681.48,427,2.34,42.7,135.0,316,316,0,506,11.0,160,562,United States,United States,https://rivian.com/r1s,
